CODICE TIPO ENTE CREDITORE,TIPO ENTE CREDITORE,"# Progressivo
Macro Area per Ente Creditore","NOME
MACRO AREA","DESCRIZIONE
MACRO AREA","CODICE 
TIPOLOGIA SERVIZIO",TIPO SERVIZIO,"Motivo Giuridico della riscossione
IM: Imposta
TS: Tassa
SP: Servizio Pubblico
SA: Sanzioni
AP: Altri Pagamenti","DESCRIZIONE
TIPO SERVIZIO",# VERSIONE TASSONOMIA,DATI SPECIFICI DI INCASSO,DATA INIZIO VALIDITA',DATA FINE VALIDITA',,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,02,CORPO DI POLIZIA LOCALE,Entrate extratributarie derivanti dal controllo e dalla repressione delle irregolarità e degli illeciti.,100,Multe / Verbali di Contravvenzione,SA,Violazione delle regole prescritte dal codice della strada / Verbali di Contravvenzione,10,9/0102100SA/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,02,,,101,Spese custodia veicoli,SP,Spese di custodia dei veicoli sequestrati ,10,9/0102101SP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,02,,,102,Servizi verso privati,SP,Servizi di cui fanno genericamente richiesta i privati,10,9/0102102SP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,02,,,103,Rimborso danni automezzi P.M.,AP,Risarcimento dei danni cagionati alle vetture ed in generale ai mezzi della polizia municipale,10,9/0102103AP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,02,,,104,Rapporti incidenti stradali,SP,Rilascio copia atti (verbale) incidente stradale,10,9/0102104SP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,02,,,105,Sanzioni diverse dal C.d.S.,SA,Sanzioni per la violazione di regolamenti,10,9/0102105SA/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,02,,,106,Avvisi di Accertamento Violazione del Codice della Strada,SA,Preavvisi di accertamento,10,9/0102106SA/,03/01/2021,01/01/2080,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,03,RAGIONERIA GENERALE,"Ha lo scopo di garantire il funzionamento generale dei servizi comunali, sia mediante attività diretta che mediante azioni di supporto e assistenza agli organi e alle altre strutture dell'ente.",100,Diritti di segreteria e Spese di notifica,TS,i diritti di segreteria sono un corrispettivo versato al comune per una determinata attività o prestazione che gli enti locali svolgono su richiesta dell'interessato,10,9/0103100TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,03,,,101,Diritti Vari,AP,"Es: tassa concorso, copia atti e documenti",10,9/0103101AP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,04,DEMOGRAFICI ELETTORALI E STATISTICI,Diritti di segreteria per il rilascio di documenti o annotazioni.,100,Emissione carta d'identità Elettronica,TS,Spese per il rilascio del documento di identità,10,9/0104100TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,04,,,101,Diritto fisso Separazione/Divorzi,TS,Pagamento di un diritto fisso per l'atto di separazione o divorzio consensuale davanti all'ufficiale di stato civile,10,9/0104101TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,04,,,102,Servizio celebrazione matrimoni civili,TS,Marca da bollo prevista per la pubblicazione della notizia oltre al pagamento; pagamento di una tariffa determinata dalla sede di stato civile prescelta,10,9/0104102TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,04,,,103,Diritti di segreteria per certificati anagrafici,SP,Pagamento diritti di segreteria per il rilascio di certificati anagrafici,10,9/0104103SP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,04,,,104,Costo per emissione Carta d'identità cartacea,TS,Costo per il rilascio carta d'identità cartacea,10,9/0104104TS/,04/01/2021,01/01/2080,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,05,"STAZIONE UNICA APPALTANTE, CONTRATTI E GESTIONE LAVORI PUBBLICI ED EDILIZIA PRIVATA","Disciplina che consente scelta nelle modalità di gestione per l'esecuzione di lavori e di fornitura di servizi al fine di garantire un elevato livello di qualità, sicurezza e accessibilità nel rispetto dei principi della trasparenza e leale concorrenza.",100,Proventi e Concessioni spazi ed aree pubbliche,SP,"E' l'atto amministrativo con cui la P.A. consente al concessionario l'uso di risorse e/o l'esercizio di attività non disponibili da parte dei privati e riservate ai poteri pubblici, ampliandone la sfera giuridica",10,9/0105100SP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,05,,,101,Passi Carrabili,TS,Tassa sul passo carrabile,10,9/0105101TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,05,,,102,Oneri di urbanizzazione,TS,"Corrispettivi dovuti per interventi di nuova costruzione, ampliamento di edifici esistenti e ristrutturazioni edilizie.",10,9/0105102TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,05,,,103,Oneri Condono Edilizio,TS,Spese legate alla richiesta e al rilascio di condono edilizio,10,9/0105103TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,05,,,104,Concessioni Demaniali Marittime,SP,Canoni concessioni demaniali marittime,10,9/0105104SP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,05,,,105,Rimborso spese di gara,AP,Rimborso delle spese sostenute per la pubblicazione a pagamento sui giornali di bandi di gara a carico dell'aggiudicatario,10,9/0105105AP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,05,,,106,Rimborso danni al patrimonio Comunale,AP,Risarcimento dei danni arrecati al patrimonio comunale,10,9/0105106AP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,05,,,107,Diritti Pratiche SUAP,TS,pratiche che transitano dallo Sportello Unico per le Attività Produttive ed Edilizia soggette a diritti di istruttoria,10,9/0105107TS/,15/02/2021,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,05,,,108,Deposito di garanzia provvisoria per partecipazione a gare d’appalto,AP,Deposito della garanzia provvisoria per partecipazione a procedura di affidamento di un contratto pubblico.,10,9/0105108AP/,04/01/2021,01/01/2080,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,06,"TUTELA AMBIENTALE, SANITÀ E IGIENE PUBBLICA",Servizi per il controllo delle attività che potrebbero alterare l'ambiente circostante.,100,Certificazioni e Oneri Ambientali,TS,Spese per il rilascio dell'attestato nel quale viene certificato l'impegno di un'organizzazione per il rispetto dell'ambiente,10,9/0106100TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,06,,,101,Sistemi evaquazione fumi,TS,Spese installazione di impianti di evacuazione fumi,10,9/0106101TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,06,,,102,Sanzioni Ambientali,SA,"Sanzioni in materia ambientale. ES: rifiuti, acque superficiali e sotterranee, impianti termici, emissioni in atmosfera, autorizzazioni integrate ambientali",10,9/0106102SA/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,06,,,103,Ecocard,TS,"Card per l'accesso alla piattaforma ecologica, punto di raccolta autorizzato, dove gli utenti possono portare i rifiuti differenziati",10,9/0106103TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,06,,,104,Rimborso per tessera ecocard,AP,Rimborso costo  tessere  per il conferimento dei rifiuti urbani e assimilabili presso i centri di raccolta situati sul territorio,10,9/0106104AP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,06,,,105,Acquisto bidoni  e sacchi per la raccolta PAP,SP,"Acquisto di successive forniture, sostituzioni o integrazioni  del materiale per la raccolta e differenziazione dei rifiuti ",10,9/0106105SP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,06,,,106,Tesserino funghi,TS,Pagamento per il rilascio del tesserino per la raccolta dei funghi spontanei,10,9/0106106TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,06,,,107,Servizio di disinfestazione/derattizzazione,AP,Servizio di disinfestazione/derattizzazione,10,9/0106107AP/,04/01/2021,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,06,,,108,Ritiro Rifiuti ingombranti,AP,Servizio di ritiro rifiuti ingombranti solitamente a domicilio,10,9/0106108AP/,05/03/2021,01/01/2080,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,07,POLITICHE EDUCATIVE GIOVANILI E DEL LAVORO,"Servizi riservati a bambini e ragazzi frequentanti le scuole: scuola dell'infanzia, scuola primaria, scuola secondaria di primo grado, secondo i criteri e le modalità di concessione stabiliti dall'amministrazione comunale.",100,Rette scolastiche,TS,Rette di frequenza per i servizi educativi Comunali,10,9/0107100TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,07,,,101,Mense scolastiche,TS,Spesa mensa scolastica,10,9/0107101TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,07,,,102,Trasporto scolastico,SP,"Richiesta di iscrizione al trasporto scolastico per gli alunni della scuola dell'infanzia, primarie e secondarie di primo grado",10,9/0107102SP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,07,,,103,Prescuola,SP,"Servizio di assistenza educativa ai bambini delle scuole primarie presso ciascun plesso scolastico, prima dellinizio dell'orario delle attività didattiche statali",10,9/0107103SP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,07,,,104,Interscuola,SP,Servizio di assistenza educativa durante il pasto quando la vigilanza non è garantita dagli insegnanti statali ed è riservato agli alunni delle scuole primarie e secondarie di primo grado,10,9/0107104SP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,07,,,105,Doposcuola ,SP,Offre ai bambini attività educative mirate ,10,9/0107105SP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,07,,,106,Nido,SP,servizio socio educativo volto a favorire la crescita dei bambini dai 3 mesi ai 3 anni di vita,10,9/0107106SP/,11/01/2020,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,07,,,107,Duplicato Tesserino di riconoscimento,AP,Costo per il rilascio del duplicato del tesserino di riconoscimento per lo studente che usufruisce del trasporto scolastico,10,9/0107107AP/,06/01/2021,01/01/2080,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,08,"CULTURA, RELIGIONI, PARI OPPORTUNITÀ, SPORT","Questi servizi offrono una serie di attività e manifestazioni tese a rispondere al bisogno di informazione, cultura e formazione, cercando di valorizzare le peculiarità storiche e le tradizioni del territorio.",100,Servizi bibliotecari ,SP,"Prestito, noleggio multimediale",10,9/0108100SP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,08,,,101,Biglietti (ambito cultura),SP,Tariffe visite nei luoghi di cultura comunali / Cinema,10,9/0108101SP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,08,,,102,Commissioni Pubblici Spettacoli,TS,Bollo e oneri istruttori per il rilascio della  licenza per l'attività di Pubblici Spettacoli,10,9/0108102TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,08,,,103,Centri estivi e centri gioco,TS,Iscrizione centro estivo o centro giochi per bambini e ragazzi,10,9/0108103TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,08,,,104,Impianti sportivi,AP,"Proventi derivanti da locazione e utilizzo impianti sportivi da parte di associazioni, polisportive e privati cittadini",10,9/0108104AP/,11/01/2020,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,08,,,105,"Iscrizione corsi e laboratori per giovani, adulti ed anziani",SP,"Iscrizione a corsi e laboratori per giovani, adulti e anziani (ad esempio i corsi dell'Università Età Libera, corsi musicali, laboratori artistici e teatrali, ecc.)",10,9/0108105SP/,05/03/2021,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,08,,,106,Assicurazioni,AP,Costo per assicurazioni derivanti dalla partecipazione ad attività sportive promosse dal Comune,10,9/0108106AP/,06/01/2021,01/01/2080,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,09,SERVIZI ALLA PERSONA E SERVIZI SOCIALI,Servizi che garantiscono assistenza a persone in difficoltà in un sistema di Stato sociale.,100,Servizi alla persona e servizi sociali,SP,"Programma di trattamenti medici, infermieristici e riabilitativi, gestiti dall'ASL con i Comuni; funzioni amministrative legate ad interventi sociali svolti a livello locale;casa di riposo;servizi socio-sanitari e di trasporto sociale anziani/disabili ; Contrassegno disabili",10,9/0109100SP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,10,LOCAZIONE LOCALI E IMPIANTI,,100,Affitti,TS,Canoni di locazione percepiti dall'Ente,10,9/0110100TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,10,,,101,Rimborso utenze,AP,"Rimborso per utenze (acqua, luce, gas) e altre spese da parte di affittuari, locatari e concessionari di immobili comunali",10,9/0110101AP/,15/02/2021,01/01/2080,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,11,SVILUPPO ECONOMICO,Tasse per occupazione  aree commerciali pubbliche e rimborso delle spese per la messa a disposizione delle stesse.,100,Aree Mercatali,TS,Concessione suolo pubblico per fiere e mercati,10,9/0111100TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,11,,,101,Rimborso spese aree mercatali,AP,Rimborso delle spese sostenute dall'Ente per la messa a disposizione dell'area,10,9/0111101AP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,12,SERVIZI IDRICI,Servizi legati alla gestione amministrativa dell'acqua.,100,Acquedotto,TS,Per la gestione della risorsa idrica e delle manutenzione dello stesso,10,9/0112100TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,12,,,101,Rimborso tessere casa dell’acqua,AP,rimborso costo  tessere casa dell'acqua (strutture per l'erogazione automatica dell'acqua),10,9/0112101AP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,12,,,102,Servizio Idrico,SP,Pagamanto servizio idrico / Servizio di prelievo a mezzo aoutobotte (buoni acqua) / Stipula contratti / Insoluti,10,9/0112102SP/,03/01/2021,01/01/2080,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,13,AVVOCATURA CIVICA,"Provvede alla tutela dei diritti  e degli interessi dell'Amministrazione comunale, secondo le norme di legge e secondo il regolamento dell'Ente.",100,Spese legali,SP,spese sostenute dall'avvocatura civica e/o rimborso delle spese legali da parte di terzi,10,9/0113100SP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,14,PATRIMONIO,"Entrate derivanti dalla vendita, locazione o sfruttamento del patrimonio pubblico, immobiliare e non.  ",100,Oneri cimiteriali & Lampade Votive,TS,"affidamento dei servizi cimiteriali Es: loculi, illuminazioni votive, concessione aree e manufatti cimiteriali",10,9/0114100TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,14,,,101,Vendita alloggi ERP,SP,incassi derivanti dalla vendita di alloggi popolari,10,9/0114101SP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,14,,,102,Affitti alloggi Popolari,SP,canoni derivanti dalla locazione di alloggi popolari,10,9/0114102SP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,14,,,103,Oneri Condominiali,TS,oneri comdominiali degli alloggi popolari,10,9/0114103TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,14,,,104,Deposito Cauzionale,AP,importo versato a garanzia dell'obbligo assunto  ,10,9/0114104AP/,12/01/2020,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,14,,,105,Morosità,AP,ulteriore incasso (maggiorazione) derivante dal ritardo nei pagamenti.,10,9/0114105AP/,12/01/2020,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,14,,,106,Dividendi da società partecipate,AP,Incasso dividendi da partecipazioni societarie,10,9/0114106AP/,01/01/2021,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,14,,,107,Alienazione beni immobili,AP,Corrispettivi per la vendita di aree o fabbricati di proprietà dell'ente,10,9/0114107AP/,15/02/2021,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,14,,,108,Estinsione diritto di prelazione,SP,Rappresenta l'importo che l'acquirente di una casa popolare può versare per estinguere il diritto di prelazione dell'Ente nel riacquisto dell'alloggio,10,9/0114108SP/,04/01/2021,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,14,,,109,Indennità occupazione alloggi,SA,Importi derivanti dalla detenzione senza titolo di alloggi popolari,10,9/0114109SA/,04/01/2021,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,14,,,110,Quote sindacato inquilini,SP,Riscossione per conto del sindacato della quota di iscrizione al sindacato inquilini dell'affittuario,10,9/0114110SP/,04/01/2021,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,14,,,111,Alienazione beni mobili,AP,"Corrispettivi per la vendita di autoveicoli/ciclomotori/motoveicoli/autocarro, ecc..",10,9/0114111AP/,06/01/2021,01/01/2080,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,15,VARIE,,100,Gettoni Pesa,TS,gettone per accedere all'infrastruttura che ospita una bilancia destinata a misurare la massa di veicoli ed altri oggetti di grandi dimensioni,10,9/0115100TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,15,,,101,Parcheggi e ZTL,TS,pagamento ticket parcheggi e permessi per la zona a traffico limitato.,10,9/0115101TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,15,,,102,Donazioni,AP,atti di liberalità nei confronti degli enti,10,9/0115102AP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,15,,,103,Altre imposte di Bollo,TS,Pagamento della marca da Bollo,10,9/0115103TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,15,,,104,Pasti dipendenti comunali,SP,erogazione buoni pasto per i dipendenti dell'Ente,10,9/0115104SP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,15,,,105,Varie,AP,,10,9/0115105AP/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,15,,,106,Gestione anagrafe Canina,SP,Acquisto Microcip ed altre spese per gestione anagrafe canina,10,9/0115106SP/,11/01/2020,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,15,,,107,Riscossione Coattiva,AP,Avvisi di Accertamento su mancata riscossione volontaria di Tasse e imposte,10,9/0115107AP/,01/01/2021,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,15,,,108,Polizia mortuaria,SP,Prestazioni di polizia mortuaria,10,9/0115108SP/,15/02/2021,01/01/2080,,,,,,,,,,,,,,,,,,
